item,count,f
"Boselli S",1,1.79
"Bosley RR",1,1.79
"Bossu F",1,1.79
"Botta C",1,1.79
"Bottura L",1,1.79
"Bouchard C",1,1.79
"Boughezal R",1,1.79
"Boutin D",1,1.79
"Bouville F",1,1.79
"Bovone G",1,1.79
"Bozbey A",1,1.79
"Bozzi C",1,1.79
"Bozzini D",1,1.79
"Braccini V",1,1.79
"Bradley RL",1,1.79
"Braibant-Giacomelli S",1,1.79
"Bramante J",1,1.79
"Branea AM",1,1.79
"Braun-Munzinger P",1,1.79
"Breit J",1,1.79
"Breton C",1,1.79
"Briffa JA",1,1.79
"Briones MJI",1,1.79
"Britzger D",1,1.79
"Brodsky SJ",1,1.79
"Brogiolo GP",1,1.79
"Brooke JJ",1,1.79
"Brose U",1,1.79
"Brossard M",1,1.79
"Brown G",1,1.79
"Brown GG",1,1.79
"Bruce R",1,1.79
"Bruna E",1,1.79
"Brundisini F",1,1.79
"Brunner K",1,1.79
"Brunner O",1,1.79
"Bruzual HM",1,1.79
"Bruzzone P",1,1.79
"Brüning O",1,1.79
"Buffat X",1,1.79
"Bulyak E",1,1.79
"Buonocore DJ",1,1.79
"Burkart F",1,1.79
"Burkhardt H",1,1.79
"Burnet JP",1,1.79
"Burtis JC",1,1.79
"Butin F",1,1.79
"Buttazzo D",1,1.79
"Butterworth A",1,1.79
"Byers E",1,1.79
"Béguin M",1,1.79
"Caccia M",1,1.79
"Cai CY",1,1.79
"Cai Y",1,1.79
"Cai YY",1,1.79
"Caiffi B",1,1.79
"Cairo V",1,1.79
"Cakir IT",1,1.79
"Cakir O",1,1.79
"Calabria-Holley J",1,1.79
"Calaga R",1,1.79
"Calame CMC",1,1.79
"Calatroni S",1,1.79
"Calderini G",1,1.79
"Calderola G",1,1.79
"Caliskan A",1,1.79
"Calvet D",1,1.79
"Calviani M",1,1.79
"Camalich JM",1,1.79
"Camarri P",1,1.79
"Cameron EK",1,1.79
"Campanelli M",1,1.79
"Camporesi T",1,1.79
"Canbay AC",1,1.79
"Canepa A",1,1.79
"Cantergiani E",1,1.79
"Canton GG",1,1.79
"Cantore-Cavalli D",1,1.79
"Capeans M",1,1.79
"Capowiez Y",1,1.79
"Cardarelli R",1,1.79
"Cardella U",1,1.79
"Cardini A",1,1.79
"Carleton B",1,1.79
"Carnero P",1,1.79
"Carra F",1,1.79
"Carra S",1,1.79
"Carvalho A",1,1.79
"Casalbuoni S",1,1.79
"Casas J",1,1.79
"Cascella M",1,1.79
"Castelnovo P",1,1.79
"Castorina G",1,1.79
"Catalano G",1,1.79
"Catalina T",1,1.79
"Causarano MA",1,1.79
"Cavagnaro TR",1,1.79
"Cavasinni V",1,1.79
"Cazzato E",1,1.79
"Cecchi F",1,1.79
